"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,32,"Missouri",18,134900,0.00148478099480327,0.00596569724086503,0.0321346595256312,0.0102405226558189,-0.0098255286041159,"2007-05","2007-Q2",153200,-0.119451697127937,"2003-10"
2016-04-30,27,"Maryland",19,255000,0.00157109190887667,0.00671140939597316,0.0257441673370877,0.0168161478219546,-0.0223582169972645,"2006-08","2006-Q3",323900,-0.212719975301019,"2004-12"
2016-04-30,60,"Wisconsin",20,155600,0.00128700128700129,-0.00128369704749679,0.0250329380764163,0.0085707987640351,-0.0011495112291191,"2007-05","2007-Q2",159600,-0.025062656641604,"2006-01"
2016-04-30,31,"Minnesota",21,190000,0.00475938656795346,0.0144153764014949,0.0532150776053215,0.0392904124471214,-0.0100055615227684,"2006-05","2006-Q2",210300,-0.096528768426058,"2004-06"
2016-04-30,10,"Colorado",22,302200,0.00599201065246338,0.0216362407031778,0.13651748777736,0.0814469463635188,0.0296640181132215,"2016-04","2016-Q2",302200,0,"2016-04"
2016-04-30,4,"Alabama",23,123300,0.0016246953696182,0.0016246953696182,0.0123152709359606,0.00611211695268099,-0.0000810668440046625,"2009-05","2009-Q2",132600,-0.0701357466063348,"2006-04"
2016-04-30,51,"South Carolina",24,137100,0.00219298245614035,0.00586940572267058,0.0285071267816954,0.0160632644443923,0.00281479004160734,"2016-04","2016-Q2",137100,0,"2016-04"
2016-04-30,24,"Kentucky",25,129400,0.00310077519379845,0.00857365549493375,0.0393574297188755,0.0177548606811571,0.012043637321085,"2016-04","2016-Q2",129400,0,"2016-04"
2016-04-30,46,"Oregon",26,274500,0.0062316715542522,0.0250186706497386,0.125,0.0618935772610485,0.0091106774345977,"2016-04","2016-Q2",274500,0,"2016-04"
2016-04-30,45,"Oklahoma",27,113900,0.000878734622144112,0.00440917107583774,0.0242805755395683,0.0452269266911192,0.031905767432209,"2016-04","2016-Q2",113900,0,"2016-04"
2016-04-30,11,"Connecticut",28,236200,-0.00126849894291755,-0.00253378378378378,-0.00964360587002096,-0.0064767988372666,-0.0221499984010295,"2006-05","2006-Q2",295600,-0.200947225981055,"2003-12"
2016-04-30,19,"Iowa",29,132900,0.00529500756429652,0.0152788388082506,0.0423529411764706,0.0258121149862482,,"2016-04","2016-Q2",132900,0,"2016-04"
2016-04-30,34,"Mississippi",30,115400,0.012280701754386,0.0185348631950574,0.010507880910683,0.0029726001030157,0.0278284189535247,"2013-02","2013-Q1",129700,-0.110254433307633,"2012-07"
2016-04-30,6,"Arkansas",31,116500,0.00344530577088717,0.00953206239168111,0.0364768683274021,0.0249383423285205,0.0163077259474518,"2016-04","2016-Q2",116500,0,"2016-04"
2016-04-30,23,"Kansas",32,123100,0.00407830342577488,0,0.0284043441938179,0.018353002825837,,"2013-02","2013-Q1",128800,-0.0442546583850932,"2012-06"
2016-04-30,55,"Utah",33,227200,0.00486510393631137,0.0170098478066249,0.0752484619025083,0.0263443252468571,0.0131373292228336,"2008-01","2008-Q1",258900,-0.122441096948629,"2006-12"
