"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,3033,"Stanislaus","CA","Modesto",119,245700,0.00614250614250614,0.0228975853455454,0.0900621118012422,0.123268770764724,-0.0390948018638161,"2006-03","2006-Q1",366300,-0.329238329238329,"2004-04"
2016-04-30,911,"Camden","NJ","Philadelphia",120,159500,-0.0006265664160401,-0.00187734668335419,0.0204734484964811,-0.0100944796144901,-0.023635175636708,"2007-01","2007-Q1",208700,-0.235745088643987,"2004-09"
2016-04-30,1349,"Ramsey","MN","Minneapolis-St Paul",121,199900,-0.0029925187032419,0.00553319919517103,0.0649973361747469,0.0613919235653027,-0.0133692134260912,"2006-05","2006-Q2",229400,-0.128596338273758,"2004-02"
2016-04-30,1964,"Passaic","NJ","New York",122,295700,0.00135455469014561,0.00818274803954995,0.029954719609892,0.00634140021833396,-0.0294198544691505,"2006-08","2006-Q3",403300,-0.266798909000744,"2003-12"
2016-04-30,1611,"Chester","PA","Philadelphia",123,315200,-0.00189993666877771,-0.00126742712294043,0.00735059124320869,0.0138850237804051,-0.00302641960043382,"2007-04","2007-Q2",327300,-0.0369691414604339,"2005-10"
2016-04-30,2537,"Sedgwick","KS","Wichita",124,118100,0,-0.00337552742616034,0.0432862190812721,0.0232088911659116,0.0176949613502484,"2009-06","2009-Q2",120700,-0.0215410107705054,"2009-01"
2016-04-30,221,"Lake","IN","Chicago",125,123400,0.00406834825061025,0.0114754098360656,0.0300500834724541,0.00898946208894835,-0.00489017123299829,"2008-05","2008-Q2",142900,-0.136459062281316,
2016-04-30,2482,"Plymouth","MA","Boston",126,330600,-0.00120845921450151,0.00731261425959781,0.0532016565785282,0.0315079891270091,-0.00941489675814677,"2005-12","2005-Q4",370000,-0.106486486486486,"2004-03"
2016-04-30,2063,"Volusia","FL","Daytona Beach",127,152400,0.00395256916996047,0.0173564753004005,0.107558139534884,0.0685467531076955,-0.039693482777059,"2006-08","2006-Q3",233700,-0.34788189987163,"2004-08"
2016-04-30,1241,"Morris","NJ","New York",128,405800,-0.000246366100024637,0.00346191889218595,-0.0112085769980507,0.00668703709004981,-0.0176708528142963,"2006-06","2006-Q2",486700,-0.166221491678652,"2004-06"
