"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,38025,"Corpus Christi","TX","Corpus Christi","Nueces",54,131800,0.00764525993883792,0.0130668716372022,0.036978756884343,0.0242835071181702,0.0177832827096609,"2009-06","2009-Q2",134500,-0.0200743494423792,"2009-05"
2016-04-30,4099,"Cincinnati","OH","Cincinnati","Hamilton",55,110900,-0.0018001800180018,-0.00448833034111311,0.0109389243391067,0.0164736620446118,-0.00965609287120917,"2007-02","2007-Q1",122400,-0.0939542483660131,"2003-01"
2016-04-30,26529,"Pittsburgh","PA","Pittsburgh","Allegheny",56,106700,0.00281954887218045,0.0056550424128181,0.0419921875,0.0431100636684665,0.0357440527181898,"2016-04","2016-Q2",106700,0,"2016-04"
2016-04-30,47401,"Riverside","CA","Riverside","Riverside",57,326300,0.00865533230293663,0.0264234035860333,0.0934986595174263,0.0988165929220353,-0.0235473591306515,"2006-08","2006-Q3",417200,-0.217881112176414,"2004-12"
2016-04-30,12562,"Marietta","GA","Atlanta","Cobb",58,235600,0.0025531914893617,0.015079707022835,0.0636568848758465,0.0536772436932886,0.0106585000463726,"2016-04","2016-Q2",235600,0,"2016-04"
2016-04-30,23482,"Anchorage","AK","Anchorage","Anchorage",59,294200,0.000680272108843537,0.00891632373113855,0.03994344291269,0.0236884166775424,0.00417305994124328,"2007-11","2007-Q4",302300,-0.0267945749255706,"2006-09"
2016-04-30,3506,"Bakersfield","CA","Bakersfield","Kern",60,210100,0.00142993326978074,0.00622605363984674,0.0203982515784361,0.0842654213071587,-0.0405090478581824,"2006-04","2006-Q2",317700,-0.338684293358514,"2004-09"
2016-04-30,20313,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",61,173600,-0.00401606425702811,0.00173110213502597,0.0650306748466258,0.0648442582093183,-0.0166798739349039,"2006-05","2006-Q2",206300,-0.158507028599127,"2003-08"
2016-04-30,34303,"Toledo","OH","Toledo","Lucas",62,54800,-0.00544464609800363,-0.0126126126126126,-0.041958041958042,-0.0186208803836648,-0.043731227981425,"2006-04","2006-Q2",85700,-0.360560093348891,"1997-03"
2016-04-30,7081,"Silver Spring","MD","Washington","Montgomery",63,370000,0.002710027100271,0.012311901504788,0.0109289617486339,0.0283717377648969,-0.0178233516767922,"2006-06","2006-Q2",443800,-0.166291122127084,"2004-12"
2016-04-30,25574,"Lexington","KY","Lexington","Fayette",64,155100,0.00193798449612403,0.00258564964447317,0.0388479571332887,0.0223083556024246,0.0104398428623054,"2016-04","2016-Q2",155100,0,"2016-04"
2016-04-30,12970,"Newark","NJ","New York","Essex",65,204400,0.00541072306935563,0.00988142292490119,0.0199600798403194,0.00246429800531511,-0.0353028801752064,"2007-04","2007-Q2",316900,-0.35500157778479,"2004-05"
2016-04-30,47945,"Tallahassee","FL","Tallahassee","Leon",66,154600,-0.000646412411118293,0.00585556278464541,0.0124426981008513,0.00432462739971196,-0.0209725240358991,"2006-07","2006-Q3",194100,-0.203503348789284,"2004-11"
2016-04-30,7266,"Stockton","CA","Stockton","San Joaquin",67,229300,0.00482033304119194,0.0232039268183847,0.118536585365854,0.121922528574656,-0.0489084033092859,"2006-01","2006-Q1",379800,-0.396261190100053,"2003-11"
2016-04-30,53915,"Plano","TX","Dallas-Fort Worth","Collin",68,292000,0.0062026188835286,0.0307094952347335,0.144200626959248,0.086225804017384,0.0373307076773832,"2016-04","2016-Q2",292000,0,"2016-04"
2016-04-30,17384,"Chandler","AZ","Phoenix","Maricopa",69,266900,0.00262960180315552,0.00641025641025641,0.0595474394601032,0.083660950275011,-0.0173960843182992,"2006-03","2006-Q1",319000,-0.163322884012539,"2005-06"
2016-04-30,11867,"Henderson","NV","Las Vegas","Clark",70,256800,0.00116959064327485,0.00626959247648903,0.0629139072847682,0.0978773583600334,-0.0324612737221081,"2006-04","2006-Q2",357200,-0.281075027995521,"2004-04"
2016-04-30,25934,"Modesto","CA","Modesto","Stanislaus",71,234300,0.0038560411311054,0.0191387559808612,0.0969101123595506,0.128352074683741,-0.0403481101973182,"2006-03","2006-Q1",354000,-0.338135593220339,"2004-03"
