"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,84630,"60629","IL","Chicago","Cook","Chicago",33,143800,0.00912280701754386,0.0242165242165242,0.0699404761904762,0.0335965144108028,-0.045796761547186,"2006-07","2006-Q3",232900,-0.382567625590382,"2002-08"
2016-04-30,84627,"60625","IL","Chicago","Cook","Chicago",34,266400,0.00225733634311512,0.0136986301369863,0.0994634750309534,0.0213468111768842,-0.0119068493383179,"2007-10","2007-Q4",307300,-0.133094695737065,"2004-09"
2016-04-30,70829,"30044","GA","Atlanta","Gwinnett","Lawrenceville",35,152300,0.00860927152317881,0.0276653171390014,0.10522496371553,0.0684064870549341,-0.00603260479912726,"2007-02","2007-Q1",164400,-0.0736009732360097,"2003-10"
2016-04-30,86026,"63376","MO","St. Louis","Saint Charles","Saint Peters",36,174500,0.00345025876940771,0.0115942028985507,0.0845245494095712,0.0323774268067174,-0.00365054944581444,"2007-03","2007-Q1",186800,-0.0658458244111349,"2005-04"
2016-04-30,66126,"20002","DC","Washington","District of Columbia","Washington",37,551200,0.00382443999271535,0.0124908155767818,0.0653266331658292,0.105117835446957,0.0362950961441999,"2016-04","2016-Q2",551200,0,"2016-04"
2016-04-30,62023,"11212","NY","New York","Kings","New York",38,321700,0.00218068535825545,0.000622083981337481,0.0320821302534488,0.00485704706498824,-0.0057218565081959,"2008-07","2008-Q3",388100,-0.17108992527699,"2006-01"
2016-04-30,74126,"37042","TN","Clarksville","Montgomery","Clarksville",39,122100,-0.00326530612244898,-0.00245098039215686,0.0158069883527454,0.0132903033643006,0.0209874392248204,"2016-02","2016-Q1",122600,-0.00407830342577488,"2016-01"
2016-04-30,62012,"11201","NY","New York","Kings","New York",40,1073300,0.00675358784354188,0.00665916338398049,0.114190802449912,0.117123716128028,0.097041362637315,"2015-12","2015-Q4",1078300,-0.00463692849856255,"2015-11"
2016-04-30,90823,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",41,288700,0.010146955913226,0.0351380423090714,0.132156862745098,0.0692106928169229,0.0289605040962986,"2016-04","2016-Q2",288700,0,"2016-04"
2016-04-30,92551,"78613","TX","Austin","Williamson","Cedar Park",42,250200,0.00120048019207683,0.0044158972300281,0.0849956634865568,0.0575944310721006,0.0348667523591957,"2016-04","2016-Q2",250200,0,"2016-04"
2016-04-30,94748,"85032","AZ","Phoenix","Maricopa","Phoenix",43,218900,0.00505050505050505,0.0157772621809745,0.111167512690355,0.119657197554372,-0.018149156526475,"2006-04","2006-Q2",262900,-0.167364016736402,"2005-07"
2016-04-30,62025,"11214","NY","New York","Kings","New York",44,552300,-0.00540248514316586,-0.00772547610492275,0.0720108695652174,0.0466553929676994,0.0145105020615335,"2016-02","2016-Q1",557300,-0.00897182845863987,"2015-11"
2016-04-30,91922,"77429","TX","Houston","Harris","Cypress",45,226900,0.00710164225477141,0.0152125279642058,0.0499768625636279,0.0536789844853089,0.0293524717169023,"2016-04","2016-Q2",226900,0,"2016-04"
2016-04-30,91968,"77479","TX","Houston","Fort Bend","Sugar Land",46,361200,-0.0063273727647868,-0.0104109589041096,0.030527817403709,0.0601647475661715,0.0430815605937727,"2016-02","2016-Q1",365800,-0.0125751776927283,"2015-12"
2016-04-30,67732,"23464","VA","Virginia Beach","Virginia Beach City","Virginia Beach",47,239600,-0.000834028356964137,0.00125365649811952,0.00884210526315789,0.0113086490160534,-0.0101373070776555,"2006-08","2006-Q3",268300,-0.106969809914275,"2005-08"
2016-04-30,70874,"30096","GA","Atlanta","Gwinnett","Duluth",48,182500,0.00329851566794942,0.0184151785714286,0.100060277275467,0.0508738275768386,0.0014916164533183,"2007-06","2007-Q2",185000,-0.0135135135135135,"2006-06"
2016-04-30,97711,"94501","CA","San Francisco","Alameda","Alameda",49,856600,0.00116877045348294,0.00990332468757369,0.110736514522822,0.104811424349129,0.0223237622240926,"2016-04","2016-Q2",856600,0,"2016-04"
2016-04-30,70828,"30043","GA","Atlanta","Gwinnett","Lawrenceville",50,193500,0.0041515308770109,0.0136196961760084,0.0714285714285714,0.0576615571948691,0.000830655749176179,"2007-09","2007-Q3",196600,-0.0157680569684639,"2006-06"
2016-04-30,91726,"77077","TX","Houston","Harris","Houston",51,306500,0.00163398692810458,-0.0006521030322791,0.0675722744688262,0.0804133720884901,0.0478833142493835,"2015-12","2015-Q4",307900,-0.00454693082169536,"2015-11"
2016-04-30,62039,"11229","NY","New York","Kings","New York",52,556800,0.00125876640891926,0.00523560209424084,0.0824261275272162,0.0340360116566985,0.0036647511754655,"2015-12","2015-Q4",557400,-0.00107642626480086,"2015-12"
2016-04-30,84621,"60619","IL","Chicago","Cook","Chicago",53,123100,0.00571895424836601,0.0258333333333333,0.058469475494411,0.000977678257234604,-0.0286341697877401,"2007-08","2007-Q3",175000,-0.296571428571429,"2003-08"
2016-04-30,60545,"07030","NJ","New York","Hudson","Hoboken",54,672900,0.00477825892190533,0.0163117353874037,0.111129458388375,0.0779200262333481,0.0277441766318711,"2016-04","2016-Q2",672900,0,"2016-04"
2016-04-30,97565,"94110","CA","San Francisco","San Francisco","San Francisco",55,1221600,-0.00383266737339966,-0.00828056502679006,0.0214900911447445,0.120086834442876,0.0427060566673552,"2015-09","2015-Q3",1243800,-0.0178485287023637,"2015-07"
2016-04-30,92271,"78130","TX","San Antonio","Comal","New Braunfels",56,182700,0.00329489291598023,0.0105088495575221,0.070926143024619,0.0326325035218575,0.0255943394600295,"2016-04","2016-Q2",182700,0,"2016-04"
2016-04-30,72442,"33139","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",57,410400,-0.00267314702308627,0.0113356333169049,0.093816631130064,0.133118836231738,0.0158732954096166,"2016-03","2016-Q1",411500,-0.00267314702308627,"2016-03"
2016-04-30,96015,"90034","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",58,978500,0.00492964978946287,0.0230005227391532,0.132785366983098,0.0844828545397675,0.0199759630329648,"2016-04","2016-Q2",978500,0,"2016-04"
2016-04-30,90795,"75243","TX","Dallas-Fort Worth","Dallas","Dallas",59,154000,0.0131578947368421,0.0412440838404327,0.15702479338843,0.0606972932310978,0.0195438514088824,"2016-04","2016-Q2",154000,0,"2016-04"
2016-04-30,77007,"44107","OH","Cleveland","Cuyahoga","Lakewood",60,137600,0,0.00732064421669107,0.050381679389313,0.0378018503867967,0.00333055402071625,"2016-04","2016-Q2",137600,0,"2016-04"
2016-04-30,72463,"33160","FL","Miami-Fort Lauderdale","Miami-Dade","Sunny Isles Beach",61,348400,0.00403458213256484,0.0157434402332362,0.0687116564417178,0.113204090091717,-0.00944955040017292,"2006-08","2006-Q3",402700,-0.134839831139806,"2005-09"
2016-04-30,96025,"90044","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",62,334100,0.00481203007518797,0.01089258698941,0.0698046749919949,0.0999467856346825,-0.0172500961736827,"2007-04","2007-Q2",432100,-0.226799352001851,"2005-07"
2016-04-30,62088,"11377","NY","New York","Queens","New York",63,406000,0.00296442687747036,0.00370828182941904,0.141732283464567,0.0415039455638824,0.0322784352574901,"2004-04","2004-Q2",424300,-0.0431298609474428,"2004-01"
2016-04-30,89925,"73099","OK","Oklahoma City","Canadian","Yukon",64,155700,0.0025756600128783,0.00451612903225806,0.0123537061118336,0.0450696483574293,0.0279384558460609,"2016-04","2016-Q2",155700,0,"2016-04"
2016-04-30,91889,"77379","TX","Houston","Harris","Tomball",65,232600,0.00172265288544358,0.002154243860405,0.0242184059885513,0.0537833585805114,0.0272880312566257,"2016-04","2016-Q2",232600,0,"2016-04"
2016-04-30,62044,"11234","NY","New York","Kings","New York",66,496900,0.00221863654699476,0.0147028793138656,0.0930488341399032,0.0254614170667715,0.00164489042566562,"2007-11","2007-Q4",509600,-0.0249215070643642,"2007-01"
2016-04-30,69823,"28277","NC","Charlotte","Mecklenburg","Charlotte",67,306000,0.00065402223675605,0.00724160631994733,0.0497427101200686,0.0517243166318622,0.0206632967404261,"2016-04","2016-Q2",306000,0,"2016-04"
2016-04-30,96193,"90650","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Norwalk",68,412100,0.00463188688444661,0.018536826495304,0.0731770833333333,0.0763923899761134,-0.0153207555492954,"2006-08","2006-Q3",490100,-0.159151193633952,"2005-05"
2016-04-30,72578,"33411","FL","Miami-Fort Lauderdale","Palm Beach","Royal Palm Beach",69,246100,0.00613246116107931,0.0249895876718034,0.112567811934901,0.109012139270694,-0.0286441207482853,"2006-03","2006-Q1",330000,-0.254242424242424,"2004-11"
2016-04-30,76953,"44035","OH","Cleveland","Lorain","Elyria",70,87800,0.00114025085518814,0.00919540229885057,0.0257009345794392,-0.000908679374962751,-0.0256901813744308,"2006-07","2006-Q3",114100,-0.230499561787905,"1998-12"
2016-04-30,96239,"90805","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Long Beach",71,377600,0.00639658848614072,0.0199891950297137,0.0751708428246014,0.0873668251420396,-0.0169285304112204,"2006-08","2006-Q3",465800,-0.189351653069987,"2005-04"
2016-04-30,84619,"60617","IL","Chicago","Cook","Chicago",72,105300,-0.00284090909090909,-0.00660377358490566,0.0405138339920949,-0.025634635944869,-0.0370500486727382,"2007-03","2007-Q1",162600,-0.35239852398524,"2002-01"
2016-04-30,65810,"19143","PA","Philadelphia","Philadelphia","Philadelphia",73,63700,-0.00933125972006221,-0.0230061349693252,-0.0230061349693252,-0.00766961730441673,0.00335789434217504,"2009-03","2009-Q1",75300,-0.154050464807437,"2006-06"
2016-04-30,96990,"92683","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Westminster",74,572600,0.00297775442284113,0.0159687721788502,0.0554838709677419,0.0633915879130631,-0.00985297889397652,"2006-06","2006-Q2",636000,-0.099685534591195,"2005-07"
2016-04-30,67730,"23462","VA","Virginia Beach","Virginia Beach City","Virginia Beach",75,189000,-0.00211193241816262,-0.00158478605388273,0.0172228202368138,0.00515823637611379,-0.00687554170737026,"2007-08","2007-Q3",213100,-0.113092444861567,"2005-09"
2016-04-30,90665,"75067","TX","Dallas-Fort Worth","Denton","Lewisville",76,193600,0.00676027041081643,0.0237969328397673,0.124274099883856,0.0723944070880707,0.0298975126395489,"2016-04","2016-Q2",193600,0,"2016-04"
2016-04-30,79054,"48197","MI","Ann Arbor","Washtenaw","Ypsilanti",77,179200,-0.00389105058365759,0.00167691447736165,0.0310701956271577,0.0752125140936175,-0.0101765251242785,"2005-08","2005-Q3",199400,-0.101303911735206,"2001-10"
2016-04-30,95048,"85710","AZ","Tucson","Pima","Tucson",78,146200,0.00205620287868403,0.0068870523415978,0.0295774647887324,0.0247138809120453,-0.0332856369205731,"2006-05","2006-Q2",205300,-0.287871407696055,"2004-09"
2016-04-30,62018,"11207","NY","New York","Kings","New York",79,335300,0.00209205020920502,-0.00208333333333333,0.0537397862979258,0.021885585518727,-0.00356752236984947,"2007-12","2007-Q4",389500,-0.139152759948652,"2006-02"
