"State","Date","RegionID","Zip","Metro","County","City","SizeRank","Value","Monthly","Quarterly","Annual","Five_Year","Ten_Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","StateName","location"
"AL","2016-04-30",73898,36507,"Daphne","Baldwin","Bay Minette",5508,119400,-0.00582847626977519,-0.0115894039735099,0.00420521446593776,0.0417854732674527,0.00552434143264113,"2015-08","2015-Q3",123200,-0.0308441558441558,"2015-05","Alabama","Bay Minette, AL 36507"
"AL","2016-04-30",73911,36527,"Daphne","Baldwin","Spanish Fort",6927,241600,-0.0033003300330033,-0.00494233937397035,-0.00861715223635618,0.0284318712876113,0.00462720268024963,"2007-01","2007-Q1",264800,-0.0876132930513595,"2006-07","Alabama","Spanish Fort, AL 36527"
"AL","2016-04-30",73383,35213,"Birmingham","Jefferson","Mountain Brook",6309,491700,0.00285539465633286,0.0152797852570721,0.0565105285775677,0.036707529185166,0.0131927535496297,"2016-04","2016-Q2",491700,0,"2016-04","Alabama","Mountain Brook, AL 35213"
"AL","2016-04-30",73334,35126,"Birmingham","Jefferson","Clay",5029,127700,0.00789265982636148,0.022417934347478,0.0340080971659919,0.0187029959342253,-0.00270025907141447,"2007-09","2007-Q3",134700,-0.0519673348181143,"2005-11","Alabama","Clay, AL 35126"
"AL","2016-04-30",73667,35976,"Albertville","Marshall","Guntersville",5489,143400,0.00209643605870021,0.00209643605870021,0.0163004961020553,0.00726882850849009,0.0183993761470242,"2015-09","2015-Q3",144500,-0.00761245674740484,"2015-07","Alabama","Guntersville, AL 35976"
"AL","2016-04-30",73357,35173,"Birmingham","Jefferson","Trussville",3694,214300,0.0042174320524836,0.00610328638497653,0.0302884615384615,0.0154354755878661,0.00255538283084489,"2007-10","2007-Q4",217000,-0.0124423963133641,"2007-08","Alabama","Trussville, AL 35173"
"AL","2016-04-30",73670,35980,"Albertville","Marshall","Douglas",10284,101500,0.00594648166501487,0.0262891809908999,0.00594648166501487,0.0159039309092948,0.000493950117259834,"2006-06","2006-Q2",103200,-0.0164728682170543,"2006-05","Alabama","Douglas, AL 35980"
"AL","2016-04-30",73899,36509,"Mobile","Mobile","Bayou La Batre",12164,47600,-0.00209643605870021,-0.0205761316872428,-0.111940298507463,-0.0291914892303788,-0.0220672314570715,"2010-05","2010-Q2",68300,-0.30307467057101,"2004-09","Alabama","Bayou La Batre, AL 36509"
"AL","2016-04-30",74002,36693,"Mobile","Mobile","Mobile",5197,128400,0.00390930414386239,0.010228166797797,0.0239234449760766,0.00441936415795063,-0.0118800920121523,"2008-06","2008-Q2",150500,-0.146843853820598,"2005-07","Alabama","Mobile, AL 36693"
"AL","2016-04-30",73270,35022,"Birmingham","Jefferson","Bessemer",4711,151800,0.00396825396825397,0.0126751167444963,0.0397260273972603,0.0182139952979983,0.000329978847768198,"2007-09","2007-Q3",161500,-0.060061919504644,"2006-05","Alabama","Bessemer, AL 35022"
"AL","2016-04-30",73958,36587,"Mobile","Mobile","Wilmer",7913,119500,-0.00499583680266445,-0.012396694214876,0.0409407665505226,0.0128670858915283,0.00877748034786507,"2008-07","2008-Q3",129100,-0.0743609604957397,"2007-07","Alabama","Wilmer, AL 36587"
